;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
177;Alexander Schwolow;de GER;GK;Hertha BSC;de Bundesliga;28;1992;26.0;1.50;0.23;0.04;0.08;0.00;1.50;0.31;-0.00;0.00;4.85;11.1;43.8;26.8;4.92;25.3;31.2;8.46;50.9;42.9;14.3;0.38;2.7;0.73;0.73;14.5;Matches;0d55d942
178;Simone Scuffet;it ITA;GK;Udinese;it Serie A;24;1996;1.0;2.00;1.00;0.00;0.00;0.00;1.70;0.19;-0.30;-0.26;8.00;17.0;47.1;19.0;5.00;52.6;39.1;9.00;77.8;48.6;26.0;0.00;0.0;0.00;0.00;5.7;Matches;41bd99ea
179;Matz Sels;be BEL;GK;Strasbourg;fr Ligue 1;28;1992;6.0;2.17;0.33;0.17;0.50;0.00;1.53;0.29;-0.63;-0.63;6.33;16.8;37.6;20.7;4.17;51.6;40.1;8.33;74.0;54.9;14.2;0.67;4.7;0.33;0.33;7.7;Matches;834b5c4c
180;Luigi Sepe;it ITA;GK;Parma;it Serie A;29;1991;36.0;2.11;0.06;0.00;0.22;0.08;1.58;0.31;-0.45;-0.45;8.28;15.4;53.8;32.4;5.06;38.1;34.4;7.61;40.1;36.5;17.2;0.44;2.6;0.67;0.67;13.9;Matches;343f753a
181;Rui Silva;pt POR;GK;Granada;es La Liga;26;1994;32.0;1.72;0.16;0.06;0.09;0.03;1.52;0.29;-0.17;-0.17;8.25;22.3;37.0;25.2;2.06;61.7;43.9;8.28;81.5;55.7;14.4;0.31;2.2;1.59;1.59;18.8;Matches;ea83bfa6
182;Marco Silvestri;it ITA;GK;Hellas Verona;it Serie A;29;1991;34.0;1.24;0.18;0.03;0.18;0.06;1.08;0.24;-0.10;-0.10;5.62;20.0;28.1;20.4;2.26;63.5;43.1;7.82;89.5;58.0;13.1;0.26;2.0;0.59;0.61;12.4;Matches;0d422df7
183;Unai Simón;es ESP;GK;Athletic Club;es La Liga;23;1997;37.0;1.08;0.14;0.03;0.16;0.03;0.97;0.28;-0.08;-0.08;5.54;13.2;41.9;21.6;5.51;37.0;35.2;7.11;73.4;52.8;14.6;0.65;4.5;0.92;0.92;15.1;Matches;5dcf3e90
184;Tobias Sippel;de GER;GK;M'Gladbach;de Bundesliga;32;1988;3.8;1.58;0.00;0.00;0.26;0.00;1.26;0.26;-0.32;-0.32;6.58;19.7;33.3;25.8;2.63;41.8;37.4;12.1;73.9;55.0;18.7;0.26;1.4;1.32;1.31;15.8;Matches;0d8a37c2
185;Salvatore Sirigu;it ITA;GK;Torino;it Serie A;33;1987;32.0;1.94;0.25;0.03;0.19;0.00;1.57;0.32;-0.36;-0.36;5.25;13.1;40.2;22.9;3.38;38.3;33.6;8.47;50.6;37.9;15.2;0.34;2.3;0.66;0.66;14.6;Matches;10dc46f0
186;Antonio Sivera;es ESP;GK;Alavés;es La Liga;23;1996;0.8;;;;;;0.00;0.04;;;5.00;17.5;28.6;18.8;5.00;53.3;39.5;8.75;85.7;53.6;12.5;1.25;10.0;;;8.0;Matches;9970da54
187;?ukasz Skorupski;pl POL;GK;Bologna;it Serie A;29;1991;28.0;1.64;0.18;0.04;0.29;0.04;1.69;0.29;0.09;+0.09;3.29;9.18;35.8;25.9;6.00;27.8;30.2;8.25;24.2;23.4;15.8;0.82;5.2;0.75;0.75;12.6;Matches;ab4449d6
188;Yann Sommer;ch SUI;GK;M'Gladbach;de Bundesliga;31;1988;30.1;1.66;0.20;0.00;0.17;0.00;1.34;0.26;-0.33;-0.33;3.99;9.90;40.3;34.1;4.09;23.7;28.7;7.04;25.9;28.6;13.2;0.23;1.8;1.00;1.00;16.5;Matches;420c18a1
189;David Soria;es ESP;GK;Getafe;es La Liga;27;1993;28.0;1.11;0.21;0.00;0.11;0.11;1.02;0.27;0.02;+0.03;10.4;26.1;39.9;23.6;0.54;85.3;51.7;6.96;85.6;55.6;11.3;0.43;3.8;1.64;1.64;18.5;Matches;8f8c6934
190;Marco Sportiello;it ITA;GK;Atalanta;it Serie A;28;1992;14.0;1.50;0.07;0.00;0.14;0.00;1.24;0.33;-0.26;-0.26;2.86;6.50;44.0;22.7;5.29;17.9;28.3;4.07;59.6;43.6;10.2;0.57;5.6;1.93;1.93;16.3;Matches;ac4003af
191;Zack Steffen;us USA;GK;Manchester City;eng Premier League;25;1995;1.0;1.00;0.00;0.00;0.00;0.00;0.90;0.47;-0.10;-0.06;0.00;4.00;0.0;22.0;4.00;13.6;27.0;8.00;12.5;12.3;14.0;0.00;0.0;0.00;0.00;;Matches;42130443
192;Thomas Strakosha;al ALB;GK;Lazio;it Serie A;25;1995;9.0;1.56;0.22;0.00;0.11;0.00;1.42;0.29;-0.13;-0.14;5.56;10.0;55.6;31.9;5.44;29.6;29.3;6.33;8.8;23.6;13.2;0.44;3.4;0.56;0.56;14.2;Matches;339fe0e8
193;Wojciech Szcz?sny;pl POL;GK;Juventus;it Serie A;30;1990;29.7;1.08;0.13;0.00;0.13;0.07;1.00;0.25;-0.01;-0.01;2.56;5.02;51.0;28.1;4.44;15.6;26.5;6.03;10.6;22.0;13.4;0.40;3.0;1.25;1.24;16.2;Matches;01b8a2b2
194;Ciprian T?t?ru?anu;ro ROU;GK;Milan;it Serie A;34;1986;1.0;3.00;1.00;0.00;2.00;0.00;2.40;0.29;-0.60;-0.59;1.00;3.00;33.3;22.0;8.00;9.1;19.7;4.00;25.0;30.3;12.0;0.00;0.0;0.00;0.00;8.0;Matches;b056e3da
195;Marc-André ter Stegen;de GER;GK;Barcelona;es La Liga;28;1992;31.0;1.03;0.10;0.03;0.13;0.06;0.92;0.24;-0.05;-0.04;2.52;5.52;45.6;28.4;5.03;14.6;26.5;5.19;26.1;31.6;9.13;0.55;6.0;1.03;1.03;15.8;Matches;6f51e382
196;Pietro Terracciano;it ITA;GK;Fiorentina;it Serie A;30;1990;3.0;1.33;0.00;0.00;0.33;0.33;1.00;0.19;0.00;+0.01;9.33;22.0;42.4;18.7;3.33;64.3;45.9;10.7;93.8;59.6;17.3;0.67;3.8;0.33;0.33;11.1;Matches;e1b0a70d
197;Kevin Trapp;de GER;GK;Eint Frankfurt;de Bundesliga;30;1990;33.0;1.58;0.12;0.03;0.15;0.06;1.35;0.27;-0.16;-0.16;6.73;17.4;38.7;33.0;4.94;41.2;34.4;8.03;47.5;41.6;13.9;0.42;3.1;1.55;1.55;15.7;Matches;ce17b5eb
198;Samir Ujkani;xk KVX;GK;Torino;it Serie A;32;1988;1.0;1.00;0.00;0.00;0.00;0.00;0.30;0.09;-0.70;-0.73;2.00;5.00;40.0;20.0;5.00;25.0;30.9;6.00;0.0;26.0;19.0;0.00;0.0;0.00;0.00;11.5;Matches;96640846
199;Tomáš Vaclík;cz CZE;GK;Sevilla;es La Liga;31;1989;5.0;1.00;0.00;0.00;0.00;0.00;1.16;0.41;0.16;+0.15;3.40;7.40;45.9;24.0;4.40;25.8;29.2;5.00;24.0;30.2;12.4;0.80;6.5;0.40;0.40;11.2;Matches;7b456af7
200;Koke Vegas;es ESP;GK;Levante;es La Liga;24;1995;1.0;2.00;0.00;0.00;0.00;0.00;2.20;0.55;0.20;+0.19;3.00;12.0;25.0;19.0;3.00;47.4;37.2;10.0;30.0;32.0;12.0;0.00;0.0;1.00;1.00;12.3;Matches;bfb15d99
201;Guglielmo Vicario;it ITA;GK;Cagliari;it Serie A;23;1996;4.0;1.50;0.00;0.00;0.50;0.00;1.23;0.23;-0.28;-0.28;6.50;13.5;48.1;20.3;4.25;39.5;35.6;6.25;88.0;56.4;17.8;0.25;1.4;0.00;0.00;6.8;Matches;77d6fd4d
202;Iván Villar;es ESP;GK;Celta Vigo;es La Liga;23;1997;19.8;1.52;0.30;0.05;0.10;0.05;1.37;0.28;-0.10;-0.10;5.05;17.1;29.6;25.5;3.89;45.0;37.1;8.69;64.5;49.4;16.1;0.35;2.2;1.57;1.57;15.5;Matches;cde52ef5
203;João Virgínia;pt POR;GK;Everton;eng Premier League;20;1999;0.5;0.00;0.00;0.00;0.00;0.00;0.60;0.10;0.60;+0.58;4.00;18.0;22.2;24.0;6.00;50.0;44.6;6.00;100.0;67.3;8.00;2.00;25.0;0.00;0.00;10.0;Matches;728e9b2e
204;Rubén Yáñez;es ESP;GK;Getafe;es La Liga;26;1993;10.0;1.20;0.10;0.00;0.00;0.00;1.10;0.33;-0.10;-0.10;7.90;18.3;43.2;20.3;3.30;63.1;43.4;6.80;80.9;54.8;12.7;0.50;3.9;0.40;0.40;12.3;Matches;039ae103
205;Yoel;es ESP;GK;Eibar;es La Liga;31;1988;3.3;0.91;0.00;0.00;0.00;0.00;0.70;0.38;-0.21;-0.21;10.3;20.9;49.3;30.9;7.88;51.0;40.2;5.15;100.0;69.9;5.76;0.00;0.0;4.55;4.50;24.3;Matches;61bb7498
206;Robin Zentner;de GER;GK;Mainz 05;de Bundesliga;25;1994;31.0;1.48;0.16;0.03;0.10;0.03;1.32;0.26;-0.13;-0.13;4.26;14.6;29.1;26.6;6.42;38.0;35.4;8.06;56.0;46.0;15.2;1.03;6.8;1.19;1.19;14.5;Matches;5c4bf6ba
207;Ron-Robert Zieler;de GER;GK;Köln;de Bundesliga;31;1989;0.6;1.67;1.67;0.00;0.00;0.00;2.00;0.07;0.33;+0.31;10.0;18.3;54.5;28.3;6.67;35.3;33.5;10.0;83.3;49.7;25.0;1.67;6.7;0.00;0.00;13.0;Matches;a0606ae8
208;Jeroen Zoet;nl NED;GK;Spezia;it Serie A;29;1991;6.7;1.79;0.45;0.00;0.30;0.00;1.49;0.24;-0.30;-0.30;5.52;15.1;36.6;41.0;6.87;32.4;33.1;4.63;38.7;37.4;10.7;0.90;8.3;1.64;1.64;17.8;Matches;cc1a0c57
