;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
178;Juan Soriano;es ESP;GK;Sevilla;es La Liga;20;1997;4.0;0.50;0.25;0.00;0.00;0.00;0.90;0.24;0.40;+0.40;5.50;21.3;25.9;28.5;7.00;51.8;40.2;8.25;78.8;53.3;14.0;0.25;1.8;2.25;2.26;20.7;Matches;5512b1a9
179;Stefano Sorrentino;it ITA;GK;Chievo;it Serie A;39;1979;31.0;1.94;0.06;0.06;0.19;0.06;1.60;0.28;-0.27;-0.27;6.48;14.9;43.5;19.5;3.03;45.8;37.0;9.55;62.8;41.6;16.3;0.26;1.6;0.26;0.26;9.6;Matches;048877f5
180;Julián Speroni;ar ARG;GK;Crystal Palace;eng Premier League;39;1979;1.0;4.00;0.00;0.00;1.00;0.00;3.60;0.40;-0.40;-0.37;11.0;31.0;35.5;22.0;3.00;90.9;53.1;13.0;84.6;54.9;18.0;1.00;5.6;0.00;0.00;3.8;Matches;8e65a5e5
181;Marco Sportiello;it ITA;GK;Frosinone;it Serie A;26;1992;35.0;1.83;0.14;0.06;0.23;0.03;1.56;0.25;-0.24;-0.24;5.09;15.2;33.5;25.2;6.34;36.4;34.8;9.74;61.9;47.5;16.7;0.57;3.4;0.60;0.60;13.8;Matches;ac4003af
182;Thomas Strakosha;al ALB;GK;Lazio;it Serie A;23;1995;35.0;1.11;0.14;0.06;0.11;0.09;1.25;0.29;0.22;+0.22;4.94;12.9;38.3;24.2;4.86;39.9;34.8;6.94;46.9;41.4;13.6;0.31;2.3;0.77;0.77;15.9;Matches;339fe0e8
183;Danijel Subaši?;hr CRO;GK;Monaco;fr Ligue 1;33;1984;12.6;0.95;0.16;0.00;0.24;0.00;1.02;0.25;0.07;+0.07;4.52;12.1;37.5;18.3;4.05;44.3;38.1;6.59;60.2;47.8;11.0;0.40;3.6;0.48;0.48;14.4;Matches;f6db3bd5
184;Seydou Sy;sn SEN;GK;Monaco;fr Ligue 1;22;1995;2.5;2.80;0.00;0.00;0.00;0.40;1.36;0.28;-1.04;-1.04;2.00;7.20;27.8;19.6;4.80;18.4;28.4;5.20;69.2;45.7;12.0;0.00;0.0;0.40;0.40;13.5;Matches;8417953b
185;Wojciech Szcz?sny;pl POL;GK;Juventus;it Serie A;28;1990;28.0;0.71;0.04;0.00;0.11;0.04;0.90;0.29;0.22;+0.22;5.00;9.11;54.9;19.2;4.36;32.0;32.7;7.32;40.5;38.9;12.8;0.32;2.5;0.96;0.96;15.7;Matches;01b8a2b2
186;Ciprian T?t?ru?anu;ro ROU;GK;Nantes;fr Ligue 1;32;1986;26.6;1.13;0.04;0.00;0.19;0.00;1.17;0.29;0.05;+0.05;6.39;13.9;45.8;23.0;4.40;35.3;33.5;8.27;70.5;48.8;12.7;0.68;5.3;1.43;1.43;15.2;Matches;b056e3da
187;Marc-André ter Stegen;de GER;GK;Barcelona;es La Liga;26;1992;35.0;0.91;0.03;0.00;0.06;0.03;1.07;0.32;0.19;+0.18;3.26;6.37;51.1;25.2;5.63;15.7;27.3;5.71;42.0;38.4;11.3;0.23;2.0;0.91;0.91;16.2;Matches;6f51e382
188;Pietro Terracciano;it ITA;GK;Fiorentina;it Serie A;28;1990;2.0;1.50;0.00;0.00;0.00;0.00;1.35;0.24;-0.15;-0.15;3.00;11.5;26.1;26.5;8.00;34.0;32.0;5.50;45.5;36.9;16.0;0.50;3.1;2.50;2.50;17.2;Matches;e1b0a70d
189;Pietro Terracciano;it ITA;GK;Empoli;it Serie A;28;1990;8.0;1.25;0.00;0.00;0.13;0.13;1.18;0.27;0.05;+0.05;3.25;8.88;36.6;21.0;4.50;32.7;31.7;8.88;22.5;31.5;14.0;0.13;0.9;0.38;0.38;10.9;Matches;e1b0a70d
190;Kevin Trapp;de GER;GK;Eint Frankfurt;de Bundesliga;28;1990;32.6;1.47;0.03;0.03;0.15;0.03;1.33;0.28;-0.11;-0.11;10.1;21.6;46.8;30.1;3.19;53.1;38.3;6.81;82.9;56.6;13.5;0.58;4.3;1.13;1.13;15.4;Matches;ce17b5eb
191;Mark Travers;ie IRL;GK;Bournemouth;eng Premier League;19;1999;2.0;2.50;0.00;0.00;0.00;0.50;2.35;0.37;0.35;+0.35;2.50;8.50;29.4;21.0;6.50;28.6;30.0;7.00;35.7;38.0;9.00;0.00;0.0;2.50;2.50;29.8;Matches;fe558029
192;Philipp Tschauner;de GER;GK;Hannover 96;de Bundesliga;32;1985;1.0;3.00;1.00;0.00;0.00;0.00;3.00;0.33;0.00;-0.04;2.00;9.00;22.2;21.0;3.00;33.3;32.0;7.00;28.6;29.3;10.0;1.00;10.0;0.00;0.00;3.0;Matches;73e2f6eb
193;Sven Ulreich;de GER;GK;Bayern Munich;de Bundesliga;29;1988;8.4;1.07;0.24;0.12;0.12;0.00;1.18;0.35;0.11;+0.11;2.14;6.07;35.3;26.0;6.67;20.6;26.6;4.40;16.2;29.5;7.26;0.00;0.0;0.95;0.95;17.5;Matches;7d3e7da6
194;Tomáš Vaclík;cz CZE;GK;Sevilla;es La Liga;29;1989;33.0;1.33;0.12;0.06;0.12;0.00;1.38;0.29;0.05;+0.04;5.03;16.2;31.1;22.5;5.64;45.1;37.9;7.76;77.7;55.6;14.4;0.88;6.1;0.64;0.64;13.2;Matches;7b456af7
195;Koke Vegas;es ESP;GK;Levante;es La Liga;22;1995;1.0;2.00;0.00;0.00;0.00;0.00;2.50;0.31;0.50;+0.48;2.00;7.00;28.6;16.0;4.00;43.8;34.8;8.00;0.0;28.0;8.00;0.00;0.0;1.00;1.00;16.5;Matches;bfb15d99
196;Emiliano Viviano;it ITA;GK;SPAL;it Serie A;32;1985;16.9;1.48;0.24;0.00;0.12;0.00;1.42;0.24;-0.06;-0.06;7.10;16.3;43.6;24.9;2.66;44.2;37.6;9.64;54.6;43.6;14.1;0.30;2.1;0.53;0.53;12.3;Matches;03760df0
197;Michel Vorm;nl NED;GK;Tottenham;eng Premier League;34;1983;2.0;2.00;0.00;0.00;1.00;0.00;2.10;0.32;0.10;+0.11;2.00;6.00;33.3;25.5;8.50;15.7;24.7;5.00;40.0;35.6;9.00;0.50;5.6;1.00;1.00;15.4;Matches;1bebde9d
198;Axel Werner;ar ARG;GK;Huesca;es La Liga;22;1996;6.0;2.67;0.17;0.00;0.00;0.17;1.82;0.31;-0.68;-0.69;6.50;21.8;29.8;18.7;2.50;65.2;43.8;10.8;89.2;59.1;12.7;0.00;0.0;0.17;0.17;10.5;Matches;c0b1a6da
199;Yoel;es ESP;GK;Valladolid;es La Liga;29;1988;3.0;2.00;0.33;0.33;0.00;0.00;1.77;0.36;-0.23;-0.22;8.67;23.7;36.6;26.7;2.00;68.8;47.5;6.00;88.9;65.0;10.3;0.67;6.5;0.67;0.67;13.1;Matches;61bb7498
200;Robin Zentner;de GER;GK;Mainz 05;de Bundesliga;23;1994;10.0;1.40;0.00;0.10;0.20;0.00;1.28;0.26;-0.12;-0.12;4.60;17.2;26.7;25.2;5.50;40.1;36.1;8.80;80.7;60.4;16.6;1.00;6.0;1.20;1.20;14.5;Matches;5c4bf6ba
201;Luca Zidane;fr FRA;GK;Real Madrid;es La Liga;20;1998;1.0;2.00;0.00;0.00;1.00;0.00;1.70;0.55;-0.30;-0.34;3.00;8.00;37.5;29.0;2.00;17.2;27.6;11.0;27.3;34.5;11.0;0.00;0.0;2.00;2.00;23.3;Matches;c818c4d9
202;Ron-Robert Zieler;de GER;GK;Stuttgart;de Bundesliga;29;1989;34.0;2.06;0.06;0.06;0.21;0.12;1.66;0.31;-0.28;-0.28;7.62;21.0;36.3;26.8;3.79;55.4;40.3;8.97;68.5;52.7;15.2;0.65;4.2;1.21;1.21;14.7;Matches;a0606ae8
